sample_id,income_vigs,DZ
stirling_wwtp_11_20,16,S01013024
stirling_wwtp_11_20,9,S01013022
stirling_wwtp_11_20,9,S01013020
stirling_wwtp_11_20,18,S01013019
stirling_wwtp_11_20,8,S01013021
stirling_wwtp_11_20,8,S01013070
stirling_wwtp_11_20,17,S01013071
stirling_wwtp_11_20,1,S01013075
stirling_wwtp_11_20,5,S01013073
stirling_wwtp_11_20,15,S01013067
stirling_wwtp_11_20,11,S01013069
stirling_wwtp_11_20,3,S01013068
stirling_wwtp_11_20,13,S01013109
stirling_wwtp_11_20,1,S01013074
stirling_wwtp_11_20,14,S01013091
stirling_wwtp_11_20,2,S01013072
stirling_wwtp_11_20,10,S01013092
stirling_wwtp_11_20,13,S01013090
stirling_wwtp_11_20,12,S01013060
stirling_wwtp_11_20,14,S01013063
stirling_wwtp_11_20,15,S01013018
stirling_wwtp_11_20,15,S01013110
stirling_wwtp_11_20,14,S01013016
stirling_wwtp_11_20,11,S01013017
stirling_wwtp_11_20,13,S01013014
stirling_wwtp_11_20,14,S01013111
stirling_wwtp_11_20,17,S01013010
stirling_wwtp_11_20,11,S01013117
stirling_wwtp_11_20,17,S01013118
stirling_wwtp_11_20,19,S01013083
stirling_wwtp_11_20,18,S01013087
stirling_wwtp_11_20,18,S01013093
stirling_wwtp_11_20,14,S01013086
stirling_wwtp_11_20,9,S01013085
stirling_wwtp_11_20,17,S01013084
stirling_wwtp_11_20,11,S01013089
stirling_wwtp_11_20,18,S01013088
stirling_wwtp_11_20,14,S01013107
stirling_wwtp_11_20,16,S01013076
stirling_wwtp_11_20,2,S01013077
stirling_wwtp_11_20,15,S01013079
stirling_wwtp_11_20,1,S01013078
stirling_wwtp_11_20,13,S01013080
stirling_wwtp_11_20,16,S01013082
stirling_wwtp_11_20,18,S01013081
allers_wwtp_12_20,5,S01012771
allers_wwtp_12_20,5,S01012752
allers_wwtp_12_20,8,S01012770
allers_wwtp_12_20,2,S01012760
allers_wwtp_12_20,14,S01012897
allers_wwtp_12_20,6,S01012761
allers_wwtp_12_20,3,S01012759
allers_wwtp_12_20,2,S01012755
allers_wwtp_12_20,5,S01012757
allers_wwtp_12_20,6,S01012758
allers_wwtp_12_20,4,S01012753
allers_wwtp_12_20,3,S01012754
allers_wwtp_12_20,14,S01012740
allers_wwtp_12_20,16,S01012898
allers_wwtp_12_20,18,S01012739
